city,z,x,y,band,codec,raw_band_bytes,unpredicted_compressed_bytes,delta_compressed_bytes,delta_ratio
madrid,18,128372,98842,G,gzip6,262144,20116,10208,25.68025078369906
madrid,18,128372,98842,G,zstd3,262144,27632,14387,18.22089386251477
madrid,18,128372,98842,G,brotli5,262144,17670,10725,24.442331002331002
madrid,18,128372,98842,B,gzip6,262144,2777,3419,76.67271131909915
madrid,18,128372,98842,B,zstd3,262144,3073,3218,81.46177750155375
madrid,18,128372,98842,B,brotli5,262144,1922,2580,101.6062015503876
madrid,18,128372,98842,C0,gzip6,262144,4442,3253,80.58530587150322
madrid,18,128372,98842,C0,zstd3,262144,4223,3049,85.97704165300098
madrid,18,128372,98842,C0,brotli5,262144,3283,2473,106.00242620299231
madrid,18,128372,98842,C1,gzip6,262144,4599,3233,81.08382307454377
madrid,18,128372,98842,C1,zstd3,262144,4350,3000,87.38133333333333
madrid,18,128372,98842,C1,brotli5,262144,3371,2495,105.06773547094188
madrid,18,128372,98842,flags,gzip6,262144,2763,3288,79.72749391727494
madrid,18,128372,98842,flags,zstd3,262144,3135,3785,69.25865257595773
madrid,18,128372,98842,flags,brotli5,262144,1444,2133,122.89920300046883
madrid,18,128372,98842,provenance,gzip6,262144,3069,3731,70.26105601715358
madrid,18,128372,98842,provenance,zstd3,262144,3377,3634,72.13648871766648
madrid,18,128372,98842,provenance,brotli5,262144,1830,2626,99.82635186595583
madrid,18,128373,98842,G,gzip6,262144,23407,11916,21.99932863376972
madrid,18,128373,98842,G,zstd3,262144,31819,17042,15.382232132378828
madrid,18,128373,98842,G,brotli5,262144,21810,13020,20.13394777265745
madrid,18,128373,98842,B,gzip6,262144,2723,3528,74.30385487528345
madrid,18,128373,98842,B,zstd3,262144,3284,3548,73.88500563697858
madrid,18,128373,98842,B,brotli5,262144,2161,2833,92.53229791740205
madrid,18,128373,98842,C0,gzip6,262144,2375,2036,128.75442043222003
madrid,18,128373,98842,C0,zstd3,262144,2311,1951,134.3639159405433
madrid,18,128373,98842,C0,brotli5,262144,1820,1520,172.46315789473684
madrid,18,128373,98842,C1,gzip6,262144,2518,2079,126.0913900913901
madrid,18,128373,98842,C1,zstd3,262144,2448,1942,134.98661174047373
madrid,18,128373,98842,C1,brotli5,262144,1945,1526,171.78505897771953
madrid,18,128373,98842,flags,gzip6,262144,2958,3244,80.80887792848335
madrid,18,128373,98842,flags,zstd3,262144,3232,4583,57.199214488326426
madrid,18,128373,98842,flags,brotli5,262144,2021,2101,124.77106139933365
madrid,18,128373,98842,provenance,gzip6,262144,3001,3772,69.49734888653235
madrid,18,128373,98842,provenance,zstd3,262144,2935,3839,68.28444907528002
madrid,18,128373,98842,provenance,brotli5,262144,2043,2766,94.77368040491685
madrid,18,128374,98842,G,gzip6,262144,34148,12601,20.803428299341324
madrid,18,128374,98842,G,zstd3,262144,42784,18663,14.0461876440015
madrid,18,128374,98842,G,brotli5,262144,30401,14501,18.07764981725398
madrid,18,128374,98842,B,gzip6,262144,4154,5332,49.164291072768194
madrid,18,128374,98842,B,zstd3,262144,4519,5306,49.40520165849981
madrid,18,128374,98842,B,brotli5,262144,3343,4310,60.82227378190255
madrid,18,128374,98842,C0,gzip6,262144,4195,2531,103.57329118925325
madrid,18,128374,98842,C0,zstd3,262144,4010,2329,112.55646200085874
madrid,18,128374,98842,C0,brotli5,262144,3196,1870,140.18395721925134
madrid,18,128374,98842,C1,gzip6,262144,4705,2475,105.91676767676768
madrid,18,128374,98842,C1,zstd3,262144,4358,2282,114.87467134092901
madrid,18,128374,98842,C1,brotli5,262144,3469,1865,140.55978552278822
madrid,18,128374,98842,flags,gzip6,262144,3677,4511,58.11217025049878
madrid,18,128374,98842,flags,zstd3,262144,4761,6088,43.059132720105126
madrid,18,128374,98842,flags,brotli5,262144,2972,3439,76.2268101192207
madrid,18,128374,98842,provenance,gzip6,262144,4341,5564,47.11430625449317
madrid,18,128374,98842,provenance,zstd3,262144,4154,5732,45.73342637822749
madrid,18,128374,98842,provenance,brotli5,262144,3347,4410,59.44308390022676
madrid,18,128375,98842,G,gzip6,262144,24414,11919,21.993791425455157
madrid,18,128375,98842,G,zstd3,262144,31205,16869,15.539984587112455
madrid,18,128375,98842,G,brotli5,262144,21903,12583,20.833187634109514
madrid,18,128375,98842,B,gzip6,262144,2600,2908,90.14580467675378
